closest bike station id,poi_id,poi_name,address,distance,longitude,latitude,categories,rating,price
dcbcf9c681fbd3e77dfbea6df0e070bc,529612de11d2ab526191ccc9,Pai,"18 Duncan St (at Adelaide St W), Toronto ON M5H 3G8",345,-79.388636,43.647796,['Thai Restaurant'],9.3,2.0
dcbcf9c681fbd3e77dfbea6df0e070bc,5462ac56498e128ccafe8fea,Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",275,-79.384955,43.648456,['Pizzeria'],8.7,2.0
dcbcf9c681fbd3e77dfbea6df0e070bc,5c08474447f876002c736b68,Wvrst Union Station,"65 Front St W, Toronto ON M5J 1E6",335,-79.381397,43.644898,['Beer Bar'],8.9,
dcbcf9c681fbd3e77dfbea6df0e070bc,50322b6ae4b09116a296568c,Soho House,"192 Adelaide St W (at Simcoe St.), Toronto ON M5H 0A4",333,-79.386412,43.6488,"['Speakeasy', 'Social Club']",8.9,2.0
dcbcf9c681fbd3e77dfbea6df0e070bc,5b6c842bc36588002c80a934,Cafe Landwer,"165 University Ave (Adelaide St W), Toronto ON M5H 3B8",321,-79.385137,43.648724,"['Café', 'Restaurant']",8.8,1.0
dcbcf9c681fbd3e77dfbea6df0e070bc,4b642db1f964a520b7a22ae3,Roundhouse Park,"255 Bremner Blvd (at Lower Simcoe St), Toronto ON M5V 3M9",465,-79.38613,43.641748,['Park'],9.3,
dcbcf9c681fbd3e77dfbea6df0e070bc,4ad4c05ef964a520cbf620e3,Steam Whistle Brewing,"255 Bremner Blvd (btwn Rees St. & Simcoe St.), Toronto ON M5V 3M9",476,-79.385267,43.641025,"['Brewery', 'Restaurant']",9.2,1.0
dcbcf9c681fbd3e77dfbea6df0e070bc,5346c98a498ed612110d0f60,IQ Food Co,"18 York St (Bremner Ave), Toronto ON M5J 2T8",425,-79.382333,43.643146,"['Wholesaler', 'Salad Restaurant', 'Snack Place', 'Food and Beverage Retail']",8.9,1.0
dcbcf9c681fbd3e77dfbea6df0e070bc,5fb5b1ca5e25237e72d6ec38,Minami,"225 King St W, Toronto ON M5V 3M2",267,-79.388266,43.646694,['Japanese Restaurant'],8.3,2.0
dcbcf9c681fbd3e77dfbea6df0e070bc,4ad69511f964a520e40721e3,The Keg Steakhouse + Bar,"165 York St (btwn Richmond St. & Adelaide St.), Toronto ON M5H 3R8",469,-79.384038,43.650038,['Steakhouse'],8.8,2.0
d1de2ddc0ea8a90d00ff717ad60a2f23,4b618500f964a52090162ae3,HTO Park,"339 Queens Quay W (at Rees St.), Toronto ON M5V 1A2",335,-79.388654,43.637636,['Park'],8.9,
d1de2ddc0ea8a90d00ff717ad60a2f23,4ad4c05ef964a520cbf620e3,Steam Whistle Brewing,"255 Bremner Blvd (btwn Rees St. & Simcoe St.), Toronto ON M5V 3M9",530,-79.385267,43.641025,"['Brewery', 'Restaurant']",9.2,1.0
d1de2ddc0ea8a90d00ff717ad60a2f23,4b642db1f964a520b7a22ae3,Roundhouse Park,"255 Bremner Blvd (at Lower Simcoe St), Toronto ON M5V 3M9",712,-79.38613,43.641748,['Park'],9.3,
d1de2ddc0ea8a90d00ff717ad60a2f23,4ae338e1f964a520e39121e3,Le Select Bistro,"432 Wellington St W (at Spadina Ave), Toronto ON M5V 1E3",692,-79.39683,43.643777,"['Wine Bar', 'Bistro', 'French Restaurant']",8.9,2.0
d1de2ddc0ea8a90d00ff717ad60a2f23,4b968fd3f964a520dfd434e3,Victoria Memorial Square,"Wellington St W (at Portland St), Toronto ON",779,-79.400289,43.643189,"['Park', 'Sports and Recreation']",8.8,
d1de2ddc0ea8a90d00ff717ad60a2f23,4fcc0dd177167574f0de38d5,Bar Hop,"391 King St W (at Charlotte St), Toronto ON M5V 1K1",800,-79.393658,43.645579,"['Beer Bar', 'Restaurant']",8.8,2.0
d1de2ddc0ea8a90d00ff717ad60a2f23,53879eb7498ee9aa7b6fe3d8,Toronto Public Library,"190 Fort York Blvd, Toronto ON M5V 0E7",689,-79.400408,43.639252,['Library'],8.5,
d1de2ddc0ea8a90d00ff717ad60a2f23,5952cf02829b0c59fa430f63,The Rec Room,"255 Bremner Blvd, Toronto ON M5V 3M9",506,-79.394392,43.641092,"['Arcade', 'Bar', 'Restaurant']",8.1,2.0
d1de2ddc0ea8a90d00ff717ad60a2f23,53af56a1498ee47d2a3a06d7,Tim Hortons,"249 Queens Dr (Rees Street), Toronto ON M9N 2H8",449,-79.38617,43.63877,"['Cafe, Coffee, and Tea House', 'Restaurant']",8.0,1.0
d1de2ddc0ea8a90d00ff717ad60a2f23,5346c98a498ed612110d0f60,IQ Food Co,"18 York St (Bremner Ave), Toronto ON M5J 2T8",927,-79.382333,43.643146,"['Wholesaler', 'Salad Restaurant', 'Snack Place', 'Food and Beverage Retail']",8.9,1.0
9fd381407b51a700753caec17607a127,50322b6ae4b09116a296568c,Soho House,"192 Adelaide St W (at Simcoe St.), Toronto ON M5H 0A4",141,-79.386412,43.6488,"['Speakeasy', 'Social Club']",8.9,2.0
9fd381407b51a700753caec17607a127,5462ac56498e128ccafe8fea,Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",118,-79.384955,43.648456,['Pizzeria'],8.7,2.0
9fd381407b51a700753caec17607a127,529612de11d2ab526191ccc9,Pai,"18 Duncan St (at Adelaide St W), Toronto ON M5H 3G8",208,-79.388636,43.647796,['Thai Restaurant'],9.3,2.0
9fd381407b51a700753caec17607a127,5b6c842bc36588002c80a934,Cafe Landwer,"165 University Ave (Adelaide St W), Toronto ON M5H 3B8",148,-79.385137,43.648724,"['Café', 'Restaurant']",8.8,1.0
9fd381407b51a700753caec17607a127,4ad69511f964a520e40721e3,The Keg Steakhouse + Bar,"165 York St (btwn Richmond St. & Adelaide St.), Toronto ON M5H 3R8",316,-79.384038,43.650038,['Steakhouse'],8.8,2.0
9fd381407b51a700753caec17607a127,59f784dd28122f14f9d5d63d,HotBlack Coffee,"245 Queen St W (at St Patrick St), Toronto ON M5V 1Z4",381,-79.388748,43.650258,"['Café', 'Coffee Shop', 'Restaurant']",9.0,1.0
9fd381407b51a700753caec17607a127,5fb5b1ca5e25237e72d6ec38,Minami,"225 King St W, Toronto ON M5V 3M2",222,-79.388266,43.646694,['Japanese Restaurant'],8.3,2.0
