empty_slots,free_bikes,id,latitude,longitude,name,timestamp
2,16,fb337bbed72e2be090071e199899b2be,43.665269,-79.319796,Queen St E / Woodward Ave,2023-11-17 15:55:44.074000-05:00
13,1,4ff88d5880e71aa40d34cfe5d09b0ca7,43.67142,-79.445947,Primrose Ave / Davenport Rd,2023-11-17 15:55:44.075000-05:00
14,8,a09c67c0b419654d907c9134b108e328,43.666224,-79.317693,Queen St E / Rhodes Ave,2023-11-17 15:55:44.076000-05:00
4,31,d6a9daee68070a8b106cfb598d81308c,43.653236,-79.376716,Bond St / Queen St E,2023-11-17 15:55:44.101000-05:00
9,17,8f8af40d9388c8a3962559e8681d3db7,43.663722,-79.380288,Church St / Alexander St,2023-11-17 15:55:44.104000-05:00
1,24,5a441560e262305d1934fb3ada5a9517,43.657763,-79.389165,University Ave / Gerrard St W (East Side),2023-11-17 15:55:44.106000-05:00
6,16,18ea490ab3ca4d10e2927308416edbef,43.656729,-79.382736,Edward St / Yonge St,2023-11-17 15:55:44.108000-05:00
17,0,b7850948607474362d3728f19a77fdff,43.664467,-79.414783,Euclid Ave / Bloor St W,2023-11-17 15:55:44.125000-05:00
21,0,7ffd06e0207f80fe1ff6b5ae0bb0544c,43.675492,-79.388858,Yonge St / Aylmer Ave,2023-11-17 15:55:44.140000-05:00
9,0,17fadbdc5848036c8485099bbf517294,43.674991,-79.396273,Davenport Rd / Avenue Rd,2023-11-17 15:55:44.141000-05:00
15,1,843dcb87ce2ddb002d2b2900a5418355,43.671944,-79.387778,Yonge St / Yorkville Ave,2023-11-17 15:55:44.143000-05:00
5,11,438406694750984faa317bc6b1f3f909,43.662365,-79.351104,Dundas St E / Broadview Ave,2023-11-17 15:55:44.144000-05:00
19,27,41c3e6d3bf3bd993e7d56e22084ab5ee,43.646144,-79.377962,Front St W / Yonge St (Hockey Hall of Fame),2023-11-17 15:55:44.146000-05:00
9,2,c95712a6fe0babf73cb9da2c05889749,43.663993,-79.358534,Gerrard St E / River St,2023-11-17 15:55:44.149000-05:00
22,5,2aedc79960408d746f43fb1d91bf7030,43.657266,-79.374756,Jarvis St / Dundas St E,2023-11-17 15:55:44.149000-05:00
12,3,784016bbba7f7be920647e7f8ec00251,43.6672144,-79.3452697,Logan Av / Gerrard St E,2023-11-17 15:55:44.242000-05:00
14,1,77f9f2420581968255251d9f26c78024,43.673939,-79.441159,Regal Rd / Dufferin St,2023-11-17 15:55:44.243000-05:00
7,3,7461a94289f2956b380e5b7684b56a1e,43.657991,-79.340075,Morse St / Eastern Ave,2023-11-17 15:55:44.253000-05:00
4,16,69dc0257a4d3a1dcd5af06dc3b4eed8c,43.66745,-79.329408,Alton Ave / Dundas St E (Greenwood Park),2023-11-17 15:55:44.254000-05:00
2,12,365a0f49bf1c9b42c35b531688b9fed9,43.672453,-79.338259,Blake St / Boultbee Ave,2023-11-17 15:55:44.255000-05:00
6,8,49021f20833894e3dbfaea4fb6e7a9dc,43.6592088,-79.3348396,Eastern Ave / Winnifred Ave,2023-11-17 15:55:44.255000-05:00
22,0,3910976dfd5888140602a42b14637022,43.689211,-79.35438,Gamble Ave / Broadview Ave,2023-11-17 15:55:44.257000-05:00
3,13,1fe2e0ad1678ffaf965b10e03a08aaf2,43.656927,-79.378497,111 Bond St (North of Dundas St E)  - SMART,2023-11-17 15:55:44.265000-05:00
11,4,e565aef96d6d5fce5279ef6f24b9ce69,43.658295,-79.372346,Dundas St E / Pembroke St - SMART,2023-11-17 15:55:44.268000-05:00
15,4,c765943cac057b6cac0946eff428bf5b,43.6940155,-79.2889842,Victoria Park Subway Station - SMART,2023-11-17 15:55:44.273000-05:00
16,0,e0dec8b8f5ed285bfbd952bb253084f4,43.6809164,-79.4229684,Wychwood Ave / Benson Ave - SMART,2023-11-17 15:55:44.279000-05:00
12,0,5ee5f79fc51737623d425310eb0bf02b,43.6910667,-79.39535,Lawton Blvd / Yonge St,2023-11-17 15:55:44.306000-05:00
12,3,0daa4477ec313c30dc3036f4bd45e0ba,43.6975969,-79.39654,Yonge St / Davisville Ave,2023-11-17 15:55:45.558000-05:00
32,2,e2911ec2b832c350dad0a8831a30d273,43.639832,-79.395954,Fort York  Blvd / Capreol Ct,2023-11-17 15:55:44.324000-05:00
13,4,57ef343f4e12ae497e29c3693d922197,43.667333,-79.399429,St. George St / Bloor St W,2023-11-17 15:55:44.340000-05:00
0,22,a0100ff8f210b72706e06b4c31a329fe,43.6480008,-79.383177,King St W / York St,2023-11-17 15:55:44.341000-05:00
7,2,32cb4912f6d3269c070a43e658dea18d,43.656518,-79.389099,University Ave / Elm St,2023-11-17 15:55:44.342000-05:00
15,0,75b9fc3e9bf42a5d26fa1393d9ce72ed,43.687999,-79.38906,Rosehill Ave / Avoca Ave - SMART,2023-11-17 15:55:44.345000-05:00
13,0,d3e1a4057d9bf7c31c216017a0f1989b,43.6563889,-79.45166666666667,Bloor St W / Dundas St W,2023-11-17 15:55:44.357000-05:00
13,5,8a4d335d5540e0c2132ffdb1def165f6,43.639179,-79.399595,Bathurst St / Fort York Blvd,2023-11-17 15:55:44.358000-05:00
3,12,359ce82fbe9d1e9e9962321e62f6066f,43.6616667,-79.40138888888889,Spadina Ave / Willcocks St,2023-11-17 15:55:44.360000-05:00
19,0,4077bf05c083f50d09a52487fd234193,43.66666667,-79.45833333333334,Cariboo Ave / Railpath Trail,2023-11-17 15:55:44.360000-05:00
13,0,43e5df21054d20adc56c6aa3544b5980,43.657192,-79.452559,Dundas St W / Edna Ave,2023-11-17 15:55:44.372000-05:00
8,4,6aa469025f8c5ff029052fab35bca1f4,43.6576,-79.4032,College St / Major St,2023-11-17 15:55:44.386000-05:00
17,2,b086f4ccca33b1b976b40abe69b78d42,43.660694,-79.379052,McGill St / Church St,2023-11-17 15:55:44.390000-05:00
7,18,0fa15700b0d780b8f810ced06a01760d,43.636533,-79.395854,Queens Quay W / Dan Leckie Way,2023-11-17 15:55:44.393000-05:00
9,9,c3033415413ac24bf33672aa79838018,43.659777,-79.382767,College Park South,2023-11-17 15:55:44.396000-05:00
2,8,ce6e330ba7f61e0453dc1567eaa02745,43.643667,-79.380414,25 York St – Union Station South,2023-11-17 15:55:44.398000-05:00
9,13,049c76540151608ec55bfcd0e1748f41,43.666233,-79.373327,161 Bleecker St (South of Wellesley),2023-11-17 15:55:44.401000-05:00
5,14,55a100afdce605b59cf4acbefcdf3213,43.640114,-79.393249,Spadina Ave / Fort York Blvd,2023-11-17 15:55:44.411000-05:00
0,10,422a936ddcb551dd9f26ec313a450057,43.653766,-79.4016759,Augusta Ave / Denison Sq,2023-11-17 15:55:44.441000-05:00
13,1,e38ee1ccd4c3964a5c0d308d29403b88,43.6538888888889,-79.4413888888889,Lansdowne Ave / Whytock Ave,2023-11-17 15:55:44.444000-05:00
