empty_slots,free_bikes,id,latitude,longitude,name,timestamp
3,23,dcbcf9c681fbd3e77dfbea6df0e070bc,43.6458569,-79.3853654,Simcoe St / Wellington St W South,2023-11-17 15:55:45.502000-05:00
0,18,d1de2ddc0ea8a90d00ff717ad60a2f23,43.638497,-79.39192,Lower Spadina Ave / Lake Shore Blvd W,2023-11-17 15:55:44.622000-05:00
3,12,9fd381407b51a700753caec17607a127,43.647508351306186,-79.38604436555764,Simcoe St / King St W,2023-11-17 15:55:45.336000-05:00
3,16,f42363acf4af847ca6fcdbe9b48c8290,43.637981,-79.424146,Liberty St / Fraser Ave Green P,2023-11-17 15:55:45.472000-05:00
14,2,c4a01864ecb66e9b1ee3023d3205a281,43.6800218,-79.3405681,Langford Ave / Danforth Ave - SMART,2023-11-17 15:55:45.220000-05:00
15,1,beb87ea54499f95a614653924c99b9c4,43.656945,-79.424911,Concord Ave / Dewson St,2023-11-17 15:55:45.134000-05:00
15,2,1f5bb4fff3139fff3f927f1a4980dc1e,43.65389,-79.4675,Gothic Ave / Quebec Ave,2023-11-17 15:55:45.187000-05:00
11,4,769a6cb25850b809d38c7a2620731b1e,43.70925763810859,-79.44169105036657,Glencairn Subway Station,2023-11-17 15:55:45.613000-05:00
0,13,5539f3700e4ce9e5701353a667924538,43.64570236705167,-79.41933192053696,Ossington Ave / Bruce St,2023-11-17 15:55:45.541000-05:00
2,18,fc62f74abe3d79fa430f55f6f56e5e3a,43.657424,-79.381019,Gould St / Yonge St (TMU),2023-11-17 15:55:45.599000-05:00
16,2,62a1c39596c3d512dfa04f1d29b81035,43.68395,-79.347046,Fulton Ave / Pape Ave,2023-11-17 15:55:44.753000-05:00
6,7,487f2f445a917af1d4fecb653ab5323a,43.678276306636576,-79.50667332401198,Scarlett Rd / Old Scarlett Rd ,2023-11-17 15:55:44.725000-05:00
15,3,f1bad47f1bca16159267c0ad3e50fb1a,43.597082,-79.522768,Lake Shore Blvd W / Twenty Fourth St,2023-11-17 15:55:44.293000-05:00
17,6,6ac9cdf0b92883715b404d41c779af0b,43.645324,-79.40345,Bathurst St / Adelaide St W,2023-11-17 15:55:45.285000-05:00
17,0,a385b32a5f6b3de23ce3def7f59ecbc1,43.6647688,-79.3772602,Jarvis St / Maitland Pl,2023-11-17 15:55:44.495000-05:00
2,20,082fdb9cce172f916dde26cc3a543b69,43.641529,-79.386741,Bremner Blvd / Rees St,2023-11-17 15:55:45.576000-05:00
21,1,27e30ff4939a3992db39e99af9dfe172,43.689293,-79.295895,Trent Ave / Danforth Ave,2023-11-17 15:55:45.045000-05:00
10,0,6d45f03d18059ba5e61f0d44a0cea59d,43.661705,-79.425734,Ossington Ave / Bloor St W,2023-11-17 15:55:45.269000-05:00
18,1,44bdbe8a2ac75fbe4cc0edf41fe1d4fa,43.696708,-79.40045,Frobisher Ave / Lascelles Blvd,2023-11-17 15:55:45.564000-05:00
14,4,aa44f34bf848cea7d5570c51697d8ac4,43.72704086366749,-79.24391402446746,Brimley Rd / McCowan District Park,2023-11-17 15:55:45.509000-05:00
12,0,5ee5f79fc51737623d425310eb0bf02b,43.6910667,-79.39535,Lawton Blvd / Yonge St,2023-11-17 15:55:44.306000-05:00
1,10,76ff77a0c8d2de7ff02ab1ce2b719e22,43.659226,-79.390213,University Ave / College St (West),2023-11-17 15:55:44.959000-05:00
2,9,a3246dc710b72e282aabc15520392d98,43.693187,-79.314283,Lumsden Ave / Cedarvale Ave,2023-11-17 15:55:44.735000-05:00
10,4,9447917367c25ac832d404c1a4696615,43.7029672,-79.3979073,Hillsdale Ave W / Yonge St,2023-11-17 15:55:45.645000-05:00
22,5,71bf1ff10731929ec44b9dcce72edba6,43.7641485,-79.5012809,Sentinel Rd / Finch Corridor Trail,2023-11-17 15:55:45.638000-05:00
2,16,7a666ee6c60a7f8ffec9334924d36c6a,43.643025055165865,-79.39430137761319,The Well,2023-11-17 15:55:44.567000-05:00
15,0,df05fe5ca5c71ce120962deaac85c1fa,43.67794376009951,-79.39836278587889,Avenue Rd / Macpherson Ave ,2023-11-17 15:55:44.966000-05:00
3,15,e4481e45d22462b01aca9513d8f5674e,43.634896,-79.467763,Lake Shore Blvd W / Windermere Ave,2023-11-17 15:55:44.466000-05:00
14,1,3754aff9599513c7ba4e4649ea3818dd,43.66207,-79.37617,Jarvis St / Carlton St,2023-11-17 15:55:45.503000-05:00
1,9,05d7abba295be4af9e74ca3ec241ebd7,43.671349,-79.29451,Queen St E / Hammersmith Ave,2023-11-17 15:55:44.596000-05:00
10,13,93727b82ed700768aa9695d49140f6b3,43.641675,-79.354006,Polson Pier,2023-11-17 15:55:44.827000-05:00
